Name,Rating,Cuisine,Rate,Link,City
Fozzie's Pizzaiolo,4.2,"Cafe, Coffee, Pizza, Pasta, Mexican, Italian, Desserts, Beverages",₹500 for two,https://www.zomato.com/ahmedabad/fozzies-pizzaiolo-1-bodakdev/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Mleko,4.6,"Cafe, Coffee, Bakery, Fast Food, Continental, Desserts, Beverages",₹500 for two,https://www.zomato.com/ahmedabad/mleko-navrangpura/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Cafezza,-,"Cafe, Coffee, Tea, Juices, Sandwich, Pizza, Fast Food, Desserts","₹1,100 for two",https://www.zomato.com/ahmedabad/cafezza-airport-gandhinagar-highway-gandhinagar/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Mexicano By The Bay,3.3,"Cafe, Mexican, Italian, Fast Food, Beverages",₹950 for two,https://www.zomato.com/ahmedabad/mexicano-by-the-bay-ashram-road/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Grace Coffee Co.,4.3,"Cafe, Sandwich, Wraps, Italian, Beverages",₹500 for two,https://www.zomato.com/ahmedabad/grace-coffee-co-1-thaltej/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
VarieTea,4.0,"Cafe, Coffee, Tea, Shake, Beverages, Italian, Sandwich, Fast Food",₹950 for two,https://www.zomato.com/ahmedabad/varietea-bodakdev/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Jugmug Thela,New,"Cafe, Coffee, Pizza, Fast Food, Desserts, Beverages",₹900 for two,https://www.zomato.com/ahmedabad/jugmug-thela-thaltej/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Cafe De Italiano,4.0,"Cafe, Shake, Pizza, Italian, Fast Food, Bakery, Healthy Food, Beverages",₹750 for two,https://www.zomato.com/ahmedabad/cafe-de-italiano-bodakdev/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Coffee By Di Bella,-,"Cafe, Coffee, Tea, Shake, Beverages",₹800 for two,https://www.zomato.com/ahmedabad/coffee-by-di-bella-navrangpura/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Unlocked,4.1,"Cafe, Fast Food, North Indian, Chinese, Desserts, Beverages, Italian","₹1,200 for two",https://www.zomato.com/ahmedabad/unlocked-navrangpura/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Core The Coffee Shop @ Lithosphere,4.1,"Pizza, Burger, Pasta, Oriental, Cafe, Shake, Beverages","₹2,000 for two",https://www.zomato.com/ahmedabad/core-the-coffee-shop-@-lithosphere-2-bodakdev/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
